    Daniel Day-Lewis                   3
       Fredric March                   2
       Spencer Tracy                   2
         Gary Cooper                   2
       Marlon Brando                   2
      Jack Nicholson                   2
      Dustin Hoffman                   2
           Tom Hanks                   2
           Sean Penn                   2
